cat_id,elo_difficulty,round_accuracy,n_resp,bank_b,n_items,cat_name,model_b_test
6,-0.790519317728569,0.7161182375906302,26895,0.029023972273912377,1078,Әдебиет әлемінде,0.038842147998816454
17,-0.2025349752150589,0.5872455453191372,18127,0.017928186545820752,946,Кино және сериалдар,0.08654428070248119
18,0.0484110036336544,0.5535714285714286,16632,-0.04757208441935063,502,Ән мен би,0.01409752863108241
15,-0.7167283149618859,0.8484848484848485,33,-0.5434206199203658,620,Ми жаттығуы,-0.5067007564123573
16,-1.4573751372270982,0.8008568772482924,24741,-0.5648688762331533,706,Медицина,-0.46309583877039295
12,-0.1321329147000347,0.5528239202657808,21070,0.0015164264878811335,1499,Еркін тақырып,-0.014689198141428399
10,-0.9787238735681336,0.7279103010810328,22386,-0.07360900453249573,853,Спорт,-0.05062878660050593
7,-0.5850460862925997,0.6767424267342038,30403,-0.6814852035754208,1036,Сауаттылық,-0.5696281024028924
1,-0.0669793933049863,0.5648783205096961,28723,-0.18289382527353093,780,Ел тарихы,-0.08720963486953495
13,-0.0195731237805539,0.5337458462243612,17454,0.011962773628592042,809,Әлем Тарихы,0.0313874031953813
5,-0.0550900069966094,0.5439355691789879,16638,0.15909082148469725,936,Өнер және мәдениет,0.07690087376381546
9,-0.0191947081970892,0.5470638160287759,24743,-0.010372791749832308,1477,География,-0.02130182336294167
4,-0.3567777110044677,0.7118055555555556,288,-0.0895826440316179,798,Технологиялық прогресс,-0.0427281145640514
