model,n_items,r_b_1PL,rho_b_1PL,r_b_2PL,rho_b_2PL,r_b_3PL,rho_b_3PL,r_logit_pvalue,p_value_of_r_b2PL
kaz-roberta-conversational,347,0.3782499676606642,0.37461488995482906,0.3631526631999365,0.3793057148363488,0.3476705076563559,0.36236446294831437,0.3831451377287102,2.949615834141166e-12
xlm-roberta-base,347,0.34902087808325094,0.35536681831029154,0.33865547729778434,0.35457570343930617,0.32437265528018516,0.34335175223194786,0.3530174508472953,9.288378037795034e-11
xlm-roberta-large,347,0.30515227418680735,0.3032056087724906,0.30552245064787903,0.296894784824818,0.28290748173600483,0.28373031358895945,0.3078052631859763,6.2388535372033705e-09
bert-base-multilingual-cased,347,0.2959088167297603,0.30868445729872057,0.2910968802760777,0.31933571620397316,0.2722049211792817,0.2996481699813996,0.2968320665937409,3.3320389548548554e-08
BGE-M3 + Ridge,347,0.313147454918787,0.2853001728776471,0.2803433419096466,0.2825098040229369,0.2848521436208129,0.2757566834546902,0.3187367734967284,1.0948446905398113e-07
TF-IDF + Ridge,347,0.2731904851699116,0.2401335631858577,0.2711689043210974,0.2530101008882559,0.2651099654001744,0.2390644315856664,0.2744958982551331,2.904875326057754e-07
LaBSE + Ridge,347,0.1874211628469756,0.18526908979707443,0.19424110376582582,0.20085083919650468,0.1806018780204779,0.18855719003207516,0.18809705197552873,0.0002726563088865351
mE5-large + Ridge,347,0.13900642310094274,0.1348511699164609,0.13593193647894344,0.13702691375453993,0.1251842496045099,0.13340751914725696,0.14451178287683875,0.011252105708210057
